member_id,loan_status,int_rate,Bin_int,dti,Bin_dti,Default_flag,No_of_Enquiry,enq_buckets,annual_inc,Income_bins,home_ownership,purpose,open_acc,emp_length,verification_status,delinq_2yrs,loan_amnt,Bins_loan_amt
LC10751,Fully Paid,11.49%,10,7.78,8,0,2,1-4,35000,3,MORTGAGE,other,8,10+ years,Verified,0,25000,21
LC10752,Fully Paid,10.99%,9,20.82,21,0,0,0,95000,7,RENT,home_improvement,6,10+ years,Verified,0,21000,18
LC10753,Charged Off,18.79%,21,11.12,11,1,1,1-4,41004,3,RENT,home_improvement,11,3 years,Source Verified,1,10000,8
LC10754,Fully Paid,11.49%,10,20.13,20,0,0,0,57000,5,RENT,home_improvement,11,10+ years,Verified,0,25000,21
LC10755,Fully Paid,15.23%,15,24.78,24,0,2,1-4,26004,2,RENT,debt_consolidation,7,10+ years,Verified,1,10000,8
LC10756,Charged Off,13.49%,13,24.63,24,1,0,0,72000,6,MORTGAGE,major_purchase,8,9 years,Not Verified,0,5000,4
LC10757,Fully Paid,12.99%,12,22.17,22,0,0,0,40000,3,RENT,debt_consolidation,10,6 years,Verified,0,14000,12
LC10758,Fully Paid,17.49%,19,19.89,20,0,0,0,140000,11,RENT,credit_card,9,LT 1year,Source Verified,0,15000,13
LC10759,Fully Paid,11.99%,10,11.32,11,0,0,0,110000,9,MORTGAGE,small_business,19,2 years,Verified,0,12000,10
LC1076,Fully Paid,16.29%,17,8.87,9,0,1,1-4,126000,10,RENT,other,4,5 years,Source Verified,0,20000,17
LC10760,Fully Paid,15.99%,16,21.12,21,0,2,1-4,30000,2,RENT,debt_consolidation,7,7 years,Verified,0,32000,27
LC10761,Fully Paid,11.49%,10,9.46,10,0,2,1-4,191508,15,MORTGAGE,debt_consolidation,10,1 year,Not Verified,0,8400,7
LC10762,Fully Paid,5.42%,1,22.26,22,0,2,1-4,37404,3,OWN,debt_consolidation,4,1 year,Source Verified,0,24000,20
LC10763,Fully Paid,11.49%,10,18.98,19,0,1,1-4,43000,3,OWN,credit_card,19,LT 1year,Source Verified,0,10000,8
LC10764,Fully Paid,11.99%,10,12.79,13,0,1,1-4,62400,5,RENT,credit_card,5,7 years,Not Verified,0,12000,10
LC10765,Fully Paid,13.43%,13,17.45,17,0,3,1-4,100000,8,MORTGAGE,small_business,8,LT 1year,Not Verified,1,23000,19
LC10766,Fully Paid,6.99%,3,17.94,18,0,0,0,65000,5,OWN,small_business,5,6 years,Source Verified,0,15000,13
LC10767,Fully Paid,6.99%,3,25.12,25,0,2,1-4,57700,5,MORTGAGE,car,3,3 years,Not Verified,0,5600,5
LC10768,Charged Off,5.99%,1,11.68,12,1,0,0,30000,2,RENT,debt_consolidation,15,10+ years,Verified,0,13150,11
LC10769,Fully Paid,6.99%,3,27.82,27,0,0,0,48000,4,RENT,debt_consolidation,12,6 years,Not Verified,6,2800,2
LC1077,Fully Paid,14.27%,14,17.43,17,0,0,0,80000,6,RENT,debt_consolidation,5,10+ years,Not Verified,0,12000,10
LC10770,Fully Paid,10.99%,9,19.15,19,0,0,0,54000,4,MORTGAGE,debt_consolidation,8,5 years,Not Verified,0,12000,10
LC10771,Fully Paid,16.49%,17,13.24,13,0,2,1-4,30000,2,RENT,debt_consolidation,10,3 years,Source Verified,0,13200,11
LC10772,Charged Off,11.99%,10,4.39,5,1,0,0,35000,3,RENT,debt_consolidation,11,3 years,Source Verified,0,4000,3
LC10773,Fully Paid,10.99%,9,11.59,12,0,0,0,50000,4,MORTGAGE,major_purchase,9,3 years,Source Verified,0,10000,8
LC10774,Fully Paid,10.99%,9,8.5,9,0,3,1-4,24000,2,OWN,debt_consolidation,5,3 years,Verified,0,12000,10
LC10775,Fully Paid,13.99%,13,22.35,22,0,1,1-4,45000,4,RENT,debt_consolidation,16,10+ years,Verified,0,10000,8
LC10776,Fully Paid,10.59%,8,7.55,8,0,1,1-4,105000,8,RENT,debt_consolidation,6,10+ years,Not Verified,0,4500,4
LC10777,Fully Paid,7.49%,4,11.51,12,0,0,0,100000,8,MORTGAGE,debt_consolidation,27,8 years,Not Verified,0,4500,4
LC10778,Fully Paid,12.99%,12,3.67,4,0,0,0,65000,5,MORTGAGE,car,14,2 years,Verified,0,6200,5
LC10779,Charged Off,13.49%,13,13.45,14,1,2,1-4,48000,4,OWN,debt_consolidation,4,2 years,Not Verified,1,2500,2
LC1078,Fully Paid,7.90%,4,15.12,15,0,0,0,70000,6,MORTGAGE,debt_consolidation,7,2 years,Verified,0,10000,8
LC10780,Fully Paid,11.49%,10,24.15,24,0,1,1-4,114000,9,MORTGAGE,wedding,13,10+ years,Verified,0,17000,14
LC10781,Charged Off,11.99%,10,9.18,9,1,0,0,49000,4,RENT,debt_consolidation,11,LT 1year,Source Verified,0,2400,2
LC10782,Fully Paid,10.99%,9,1.85,2,0,1,1-4,52000,4,RENT,home_improvement,8,10+ years,Verified,0,8000,7
LC10783,Fully Paid,18.79%,21,20.03,20,0,2,1-4,36000,3,RENT,debt_consolidation,15,10+ years,Verified,0,20400,17
LC10784,Charged Off,20.25%,23,6.23,7,1,0,0,110000,9,OWN,home_improvement,9,LT 1year,Not Verified,0,5000,4
LC10785,Charged Off,7.49%,4,9.82,10,1,0,0,59000,5,OWN,major_purchase,5,5 years,Not Verified,0,11500,10
LC10786,Fully Paid,17.99%,20,2.17,3,0,1,1-4,63000,5,RENT,debt_consolidation,6,2 years,Verified,0,25000,21
LC10787,Fully Paid,17.49%,19,5.61,6,0,2,1-4,240000,19,MORTGAGE,debt_consolidation,13,LT 1year,Not Verified,0,10000,8
LC10788,Fully Paid,15.99%,16,11.58,12,0,2,1-4,60000,5,RENT,other,11,3 years,Source Verified,0,12000,10
LC10789,Fully Paid,16.89%,18,15.23,15,0,1,1-4,120000,9,RENT,debt_consolidation,15,2 years,Verified,0,15000,13
LC1079,Fully Paid,7.51%,4,14,14,0,1,1-4,120000,9,RENT,debt_consolidation,8,LT 1year,Verified,0,20000,17
LC10790,Fully Paid,10.99%,9,29.65,29,0,1,1-4,85000,7,MORTGAGE,other,3,8 years,Source Verified,0,2000,2
LC10791,Fully Paid,11.99%,10,22.2,22,0,0,0,36600,3,MORTGAGE,credit_card,7,6 years,Not Verified,0,5000,4
LC10792,Fully Paid,8.49%,5,11.82,12,0,0,0,40000,3,OWN,small_business,4,4 years,Source Verified,0,2200,2
LC10793,Fully Paid,13.49%,13,19.47,19,0,0,0,36000,3,RENT,debt_consolidation,5,n/a,Not Verified,0,3025,3
LC10794,Charged Off,11.99%,10,18.35,18,1,3,1-4,57600,5,RENT,debt_consolidation,6,10+ years,Verified,0,25000,21
LC10795,Fully Paid,11.99%,10,22.7,22,0,0,0,65500,5,MORTGAGE,credit_card,4,4 years,Verified,0,6300,5
LC10796,Fully Paid,16.89%,18,18.12,18,0,1,1-4,82000,6,MORTGAGE,other,7,10+ years,Not Verified,0,5200,4
LC10797,Charged Off,19.69%,22,22.01,22,1,2,1-4,35000,3,MORTGAGE,debt_consolidation,9,10+ years,Verified,0,24000,20
LC10798,Fully Paid,10.99%,9,4.29,5,0,0,0,16800,1,OWN,other,5,9 years,Not Verified,3,8000,7
LC10799,Charged Off,14.79%,15,12.65,13,1,1,1-4,50000,4,MORTGAGE,home_improvement,2,2 years,Verified,0,9000,8
LC108,Fully Paid,6.62%,2,6.19,6,0,1,1-4,98280,8,MORTGAGE,credit_card,8,LT 1year,Not Verified,0,6500,6
LC1080,Fully Paid,13.49%,13,19.97,20,0,0,0,50000,4,OWN,small_business,8,4 years,Source Verified,3,12000,10
LC10800,Fully Paid,10.99%,9,12.87,13,0,0,0,40000,3,RENT,other,12,4 years,Not Verified,2,6000,5
LC10801,Fully Paid,10.59%,8,17.02,17,0,0,0,71000,6,MORTGAGE,other,3,5 years,Source Verified,0,8000,7
LC10802,Fully Paid,7.49%,4,18.25,18,0,0,0,112992,9,MORTGAGE,credit_card,10,2 years,Not Verified,0,4000,3
LC10803,Fully Paid,14.79%,15,13.67,14,0,3,1-4,18000,2,RENT,credit_card,9,2 years,Not Verified,0,9000,8
LC10804,Fully Paid,6.99%,3,19.18,19,0,3,1-4,60000,5,MORTGAGE,debt_consolidation,6,10+ years,Verified,0,20000,17
LC10805,Fully Paid,12.99%,12,11.23,11,0,2,1-4,80000,6,RENT,debt_consolidation,17,10+ years,Not Verified,1,18000,15
LC10806,Fully Paid,10.99%,9,8.15,8,0,2,1-4,120000,9,MORTGAGE,house,6,2 years,Not Verified,0,2500,2
LC10807,Fully Paid,7.49%,4,0.05,1,0,0,0,25200,2,MORTGAGE,debt_consolidation,10,9 years,Verified,0,25000,21
LC10808,Fully Paid,11.49%,10,22.6,22,0,0,0,43000,3,RENT,debt_consolidation,18,7 years,Verified,0,1500,1
LC10809,Fully Paid,6.99%,3,11.5,12,0,0,0,65000,5,OWN,major_purchase,8,10+ years,Not Verified,0,3500,3
LC1081,Fully Paid,6.03%,1,15.54,16,0,0,0,60996,5,RENT,debt_consolidation,7,7 years,Verified,0,4000,3
LC10810,Fully Paid,12.99%,12,11.63,12,0,1,1-4,31056,3,MORTGAGE,credit_card,11,1 year,Verified,1,35000,29
LC10811,Charged Off,15.23%,15,12.77,13,1,2,1-4,62400,5,RENT,debt_consolidation,6,2 years,Verified,0,16200,14
LC10812,Charged Off,16.49%,17,23.59,23,1,1,1-4,100000,8,MORTGAGE,home_improvement,19,10+ years,Not Verified,1,17500,15
LC10813,Fully Paid,7.49%,4,10.15,10,0,0,0,61000,5,MORTGAGE,debt_consolidation,10,3 years,Verified,0,4000,3
LC10814,Fully Paid,9.99%,7,15.9,16,0,2,1-4,100010,8,MORTGAGE,car,8,LT 1year,Not Verified,0,10000,8
LC10815,Fully Paid,15.99%,16,23.17,23,0,2,1-4,93000,7,MORTGAGE,debt_consolidation,12,9 years,Not Verified,0,24250,20
LC10816,Fully Paid,15.62%,16,13.5,14,0,2,1-4,24000,2,RENT,debt_consolidation,13,1 year,Not Verified,0,12000,10
LC10817,Fully Paid,7.49%,4,8.09,8,0,0,0,19728,2,RENT,small_business,24,10+ years,Source Verified,0,25000,21
LC10818,Fully Paid,10.59%,8,20.34,20,0,0,0,98000,8,MORTGAGE,other,6,5 years,Not Verified,0,8000,7
LC10819,Fully Paid,14.79%,15,14.73,15,0,1,1-4,79000,6,RENT,debt_consolidation,11,10+ years,Not Verified,0,15000,13
LC1082,Charged Off,12.42%,11,13.06,13,1,2,1-4,53000,4,MORTGAGE,car,7,7 years,Verified,1,21600,18
LC10820,Fully Paid,16.89%,18,11.85,12,0,1,1-4,72000,6,RENT,debt_consolidation,12,4 years,Verified,0,6000,5
LC10821,Charged Off,14.91%,15,19.83,20,1,2,1-4,40000,3,RENT,home_improvement,10,5 years,Not Verified,0,16000,14
LC10822,Fully Paid,13.49%,13,18.87,19,0,0,0,65000,5,RENT,debt_consolidation,15,3 years,Source Verified,0,3000,3
LC10823,Charged Off,16.49%,17,17.16,17,1,2,1-4,60000,5,MORTGAGE,debt_consolidation,15,8 years,Verified,0,22000,19
LC10824,Fully Paid,15.99%,16,7.42,8,0,2,1-4,83000,7,MORTGAGE,debt_consolidation,7,10+ years,Not Verified,0,17000,14
LC10825,Fully Paid,7.49%,4,15.2,15,0,0,0,36400,3,RENT,other,5,3 years,Not Verified,0,6000,5
LC10826,Fully Paid,9.99%,7,2.57,3,0,0,0,35000,3,RENT,major_purchase,5,LT 1year,Source Verified,0,18000,15
LC10827,Fully Paid,14.79%,15,14.37,14,0,1,1-4,75000,6,MORTGAGE,credit_card,7,10+ years,Verified,0,20000,17
LC10828,Fully Paid,5.42%,1,14.83,15,0,2,1-4,63996,5,MORTGAGE,credit_card,12,2 years,Source Verified,0,3150,3
LC10829,Fully Paid,6.99%,3,0.36,1,0,3,1-4,66000,5,OWN,debt_consolidation,7,3 years,Not Verified,0,10000,8
LC1083,Fully Paid,14.27%,14,21.2,21,0,0,0,45000,4,RENT,small_business,6,8 years,Verified,0,21000,18
LC10830,Fully Paid,7.49%,4,22.11,22,0,0,0,45600,4,RENT,wedding,5,n/a,Source Verified,0,8000,7
LC10831,Fully Paid,7.49%,4,21,21,0,0,0,36000,3,RENT,medical,8,5 years,Not Verified,0,3500,3
LC10832,Fully Paid,10.99%,9,12.95,13,0,1,1-4,22800,2,MORTGAGE,debt_consolidation,7,5 years,Not Verified,0,10000,8
LC10833,Fully Paid,13.99%,13,18.14,18,0,1,1-4,50000,4,RENT,moving,3,10+ years,Source Verified,0,8000,7
LC10834,Fully Paid,19.29%,21,23.35,23,0,0,0,44564,4,RENT,home_improvement,10,4 years,Verified,0,20400,17
LC10835,Fully Paid,9.99%,7,16.27,16,0,0,0,48000,4,RENT,car,10,9 years,Not Verified,0,7500,6
LC10836,Fully Paid,11.99%,10,4.14,5,0,1,1-4,75000,6,RENT,debt_consolidation,18,LT 1year,Verified,0,8500,7
LC10837,Fully Paid,11.49%,10,0.11,1,0,0,0,108000,8,MORTGAGE,credit_card,6,7 years,Not Verified,0,1675,1
LC10838,Fully Paid,12.99%,12,18.12,18,0,2,1-4,78000,6,MORTGAGE,other,21,2 years,Not Verified,1,4000,3
LC10839,Fully Paid,16.89%,18,10.88,11,0,0,0,57000,5,RENT,debt_consolidation,2,5 years,Source Verified,0,1600,1
LC1084,Fully Paid,15.96%,16,20.7,21,0,2,1-4,64000,5,RENT,debt_consolidation,5,2 years,Not Verified,0,7200,6
LC10840,Charged Off,20.99%,24,11.02,11,1,0,0,60000,5,RENT,home_improvement,4,6 years,Source Verified,0,8500,7
LC10841,Fully Paid,7.49%,4,0.35,1,0,1,1-4,51000,4,MORTGAGE,major_purchase,4,n/a,Source Verified,2,28000,24
LC10842,Fully Paid,10.59%,8,1.66,2,0,1,1-4,21000,2,RENT,home_improvement,4,1 year,Source Verified,0,11000,9
LC10843,Fully Paid,8.49%,5,16.94,17,0,0,0,59000,5,MORTGAGE,debt_consolidation,9,10+ years,Not Verified,0,10000,8
LC10844,Fully Paid,13.99%,13,15.78,16,0,2,1-4,60000,5,RENT,debt_consolidation,7,8 years,Source Verified,0,10000,8
LC10845,Fully Paid,16.89%,18,22.59,22,0,0,0,56000,4,RENT,debt_consolidation,8,4 years,Not Verified,0,14000,12
LC10846,Fully Paid,15.23%,15,14.75,15,0,1,1-4,9600,1,RENT,debt_consolidation,4,LT 1year,Source Verified,0,12000,10
LC10847,Charged Off,12.99%,12,15.59,16,1,2,1-4,122708,10,MORTGAGE,debt_consolidation,9,1 year,Not Verified,0,12000,10
LC10848,Charged Off,10.59%,8,15.7,16,1,0,0,37000,3,MORTGAGE,debt_consolidation,13,LT 1year,Not Verified,0,16000,14
LC10849,Fully Paid,8.49%,5,16.71,17,0,1,1-4,42000,3,MORTGAGE,wedding,4,6 years,Source Verified,0,6400,5
LC1085,Fully Paid,7.90%,4,5.36,6,0,0,0,135000,11,MORTGAGE,car,4,LT 1year,Verified,0,5000,4
LC10850,Fully Paid,11.99%,10,2.54,3,0,0,0,26000,2,RENT,debt_consolidation,14,9 years,Source Verified,0,7925,7
LC10851,Fully Paid,5.99%,1,13.3,13,0,2,1-4,105000,8,MORTGAGE,home_improvement,7,7 years,Not Verified,1,3000,3
LC10852,Fully Paid,14.79%,15,17.91,18,0,2,1-4,96772,8,RENT,credit_card,10,6 years,Verified,0,20000,17
LC10853,Fully Paid,13.06%,12,6.22,7,0,2,1-4,75000,6,RENT,credit_card,9,1 year,Verified,0,10000,8
LC10854,Fully Paid,6.99%,3,20.16,20,0,1,1-4,27800,2,OWN,other,9,10+ years,Source Verified,0,5000,4
LC10855,Fully Paid,14.91%,15,8.14,8,0,0,0,80000,6,MORTGAGE,car,8,2 years,Verified,0,8000,7
LC10856,Fully Paid,5.99%,1,16.08,16,0,0,0,60000,5,MORTGAGE,vacation,6,3 years,Source Verified,0,6400,5
LC10857,Fully Paid,17.49%,19,3.73,4,0,2,1-4,100000,8,MORTGAGE,debt_consolidation,6,2 years,Not Verified,0,11000,9
LC10858,Fully Paid,8.49%,5,8.73,9,0,2,1-4,87000,7,MORTGAGE,debt_consolidation,20,3 years,Not Verified,0,10800,9
LC10859,Fully Paid,19.69%,22,11.9,12,0,1,1-4,48000,4,MORTGAGE,debt_consolidation,7,10+ years,Not Verified,0,8000,7
LC1086,Fully Paid,12.69%,11,22.81,23,0,0,0,43200,4,OWN,debt_consolidation,10,4 years,Not Verified,0,20000,17
LC10860,Fully Paid,16.89%,18,12.68,13,0,1,1-4,58000,5,MORTGAGE,debt_consolidation,8,LT 1year,Not Verified,0,6025,5
LC10861,Fully Paid,17.49%,19,20.59,20,0,0,0,95000,7,MORTGAGE,debt_consolidation,9,LT 1year,Not Verified,0,15000,13
LC10862,Fully Paid,7.49%,4,19.21,19,0,0,0,120000,9,MORTGAGE,debt_consolidation,12,3 years,Not Verified,0,12800,11
LC10863,Fully Paid,10.99%,9,20.79,21,0,1,1-4,43000,3,RENT,debt_consolidation,9,8 years,Verified,0,13000,11
LC10864,Fully Paid,10.59%,8,4.71,5,0,1,1-4,65004,5,RENT,debt_consolidation,9,5 years,Not Verified,0,10000,8
LC10865,Charged Off,7.49%,4,12.11,12,1,0,0,32000,3,RENT,credit_card,9,10+ years,Verified,0,30000,25
LC10866,Fully Paid,10.59%,8,15.82,16,0,0,0,56880,5,RENT,debt_consolidation,7,5 years,Verified,0,16000,14
LC10867,Fully Paid,9.99%,7,1.9,2,0,0,0,50000,4,RENT,debt_consolidation,9,10+ years,Verified,0,20000,17
LC10868,Charged Off,21.74%,25,8.31,9,1,1,1-4,70000,6,MORTGAGE,major_purchase,14,8 years,Verified,0,2500,2
LC10869,Fully Paid,8.49%,5,11.27,11,0,1,1-4,85000,7,RENT,major_purchase,14,1 year,Not Verified,1,4000,3
LC1087,Fully Paid,21.67%,25,20.4,20,0,1,1-4,35000,3,RENT,debt_consolidation,10,3 years,Source Verified,0,8000,7
LC10870,Fully Paid,7.49%,4,0.28,1,0,0,0,138000,11,RENT,home_improvement,12,8 years,Verified,0,7200,6
LC10871,Charged Off,13.49%,13,16.87,17,1,0,0,65000,5,MORTGAGE,credit_card,10,10+ years,Source Verified,1,9875,8
LC10872,Fully Paid,14.79%,15,10.55,11,0,2,1-4,41500,3,MORTGAGE,moving,7,2 years,Source Verified,0,3600,3
LC10873,Fully Paid,18.79%,21,6.35,7,0,1,1-4,10020,1,RENT,home_improvement,10,5 years,Source Verified,0,20000,17
LC10874,Fully Paid,14.79%,15,21.87,22,0,1,1-4,30996,3,RENT,home_improvement,5,10+ years,Not Verified,0,6200,5
LC10875,Fully Paid,7.49%,4,1.05,2,0,0,0,57200,5,MORTGAGE,debt_consolidation,5,10+ years,Verified,0,25000,21
LC10876,Fully Paid,5.99%,1,5.84,6,0,0,0,83000,7,MORTGAGE,debt_consolidation,8,7 years,Source Verified,0,15000,13
LC10877,Fully Paid,13.49%,13,13.4,13,0,1,1-4,36000,3,RENT,debt_consolidation,9,5 years,Source Verified,0,16000,14
LC10878,Fully Paid,12.99%,12,15.83,16,0,0,0,58608,5,MORTGAGE,major_purchase,5,LT 1year,Verified,4,12000,10
LC10879,Fully Paid,11.99%,10,0,1,0,2,1-4,88992,7,MORTGAGE,debt_consolidation,9,10+ years,Not Verified,0,14000,12
LC1088,Fully Paid,19.91%,22,2.43,3,0,1,1-4,70000,6,MORTGAGE,debt_consolidation,12,10+ years,Verified,0,7000,6
LC10880,Fully Paid,13.49%,13,8.33,9,0,0,0,32000,3,RENT,debt_consolidation,15,10+ years,Source Verified,0,16000,14
LC10881,Fully Paid,15.23%,15,1.35,2,0,1,1-4,56000,4,RENT,debt_consolidation,5,1 year,Not Verified,2,12000,10
LC10882,Fully Paid,5.42%,1,19.86,20,0,1,1-4,40000,3,MORTGAGE,debt_consolidation,9,n/a,Source Verified,0,15000,13
LC10883,Fully Paid,11.99%,10,18.79,19,0,0,0,65000,5,OWN,home_improvement,5,10+ years,Verified,0,25000,21
LC10884,Fully Paid,10.99%,9,14.94,15,0,0,0,76000,6,MORTGAGE,debt_consolidation,8,3 years,Verified,0,1800,2
LC10885,Fully Paid,7.49%,4,13.47,14,0,0,0,93000,7,RENT,debt_consolidation,5,7 years,Verified,0,15000,13
LC10886,Fully Paid,10.99%,9,7.03,7,0,0,0,124000,10,OWN,medical,9,10+ years,Not Verified,0,2500,2
LC10887,Fully Paid,7.49%,4,23.7,23,0,0,0,43600,4,MORTGAGE,debt_consolidation,6,6 years,Source Verified,0,10400,9
LC10888,Fully Paid,14.79%,15,22.28,22,0,1,1-4,49992,4,RENT,other,9,9 years,Source Verified,0,4500,4
LC10889,Charged Off,5.99%,1,9.69,10,1,1,1-4,40000,3,MORTGAGE,debt_consolidation,9,5 years,Not Verified,1,14000,12
LC1089,Charged Off,20.89%,24,15.63,16,1,2,1-4,77000,6,OWN,debt_consolidation,4,10+ years,Verified,0,22000,19
LC10890,Fully Paid,11.49%,10,15.12,15,0,0,0,68000,5,RENT,vacation,6,LT 1year,Not Verified,0,1000,1
LC10891,Charged Off,7.49%,4,20.72,21,1,1,1-4,30000,2,RENT,debt_consolidation,21,LT 1year,Source Verified,0,14000,12
LC10892,Fully Paid,11.49%,10,15.69,16,0,0,0,51996,4,OWN,debt_consolidation,14,LT 1year,Verified,0,21350,18
LC10893,Charged Off,18.79%,21,17.91,18,1,3,1-4,39800,3,RENT,debt_consolidation,6,2 years,Not Verified,0,1700,2
LC10894,Fully Paid,5.99%,1,8.94,9,0,0,0,42000,3,RENT,other,12,10+ years,Source Verified,0,12000,10
LC10895,Fully Paid,10.99%,9,19.17,19,0,0,0,75000,6,MORTGAGE,debt_consolidation,13,6 years,Not Verified,0,13750,12
LC10896,Fully Paid,13.99%,13,20.67,20,0,1,1-4,35000,3,RENT,debt_consolidation,6,6 years,Verified,0,24000,20
LC10897,Fully Paid,14.79%,15,9.13,9,0,2,1-4,100800,8,MORTGAGE,other,4,10+ years,Verified,0,24250,20
LC10898,Fully Paid,10.99%,9,7.15,7,0,0,0,45840,4,RENT,debt_consolidation,5,10+ years,Not Verified,0,4500,4
LC10899,Fully Paid,17.49%,19,6.74,7,0,1,1-4,40800,3,OWN,debt_consolidation,8,6 years,Source Verified,0,10000,8
LC109,Fully Paid,13.49%,13,17.32,17,0,2,1-4,103000,8,MORTGAGE,debt_consolidation,13,2 years,Not Verified,0,6250,5
LC1090,Fully Paid,9.91%,7,13.77,14,0,0,0,40000,3,MORTGAGE,debt_consolidation,9,10+ years,Verified,0,26000,22
LC10900,Fully Paid,12.99%,12,10.34,10,0,0,0,42000,3,RENT,credit_card,16,10+ years,Not Verified,0,12000,10
LC10901,Fully Paid,19.29%,21,7.16,7,0,2,1-4,54000,4,RENT,debt_consolidation,10,9 years,Verified,0,10000,8
LC10902,Fully Paid,10.99%,9,6.05,6,0,0,0,156000,12,MORTGAGE,credit_card,13,10+ years,Verified,0,7500,6
LC10903,Fully Paid,10.59%,8,18.58,18,0,0,0,43200,4,MORTGAGE,home_improvement,12,8 years,Not Verified,0,5550,5
LC10904,Fully Paid,11.99%,10,22.27,22,0,0,0,73000,6,MORTGAGE,debt_consolidation,10,5 years,Verified,0,12000,10
LC10905,Fully Paid,11.49%,10,19.2,19,0,0,0,38004,3,RENT,debt_consolidation,14,7 years,Verified,0,14000,12
LC10906,Fully Paid,10.99%,9,15.49,15,0,0,0,146990.04,11,MORTGAGE,other,6,8 years,Verified,0,6000,5
LC10907,Fully Paid,16.89%,18,18.56,18,0,3,1-4,30000,2,MORTGAGE,moving,6,2 years,Source Verified,0,1500,1
LC10908,Charged Off,13.43%,13,23.67,23,1,2,1-4,10140,1,RENT,debt_consolidation,8,5 years,Not Verified,0,8500,7
LC10909,Charged Off,8.49%,5,9.6,10,1,2,1-4,35000,3,RENT,debt_consolidation,11,4 years,Verified,0,24575,21
LC1091,Charged Off,17.58%,19,14.46,14,1,3,1-4,60000,5,RENT,car,6,10+ years,Not Verified,0,12000,10
LC10910,Fully Paid,17.99%,20,22.03,22,0,0,0,95100,7,RENT,major_purchase,7,6 years,Not Verified,0,1000,1
LC10911,Fully Paid,5.42%,1,19.27,19,0,0,0,65000,5,MORTGAGE,debt_consolidation,9,3 years,Not Verified,0,2000,2
LC10912,Fully Paid,18.39%,20,17.25,17,0,0,0,119228.12,9,MORTGAGE,debt_consolidation,7,10+ years,Not Verified,0,7200,6
LC10913,Fully Paid,10.99%,9,5.71,6,0,0,0,57600,5,MORTGAGE,major_purchase,7,7 years,Source Verified,0,4500,4
LC10914,Fully Paid,5.42%,1,8.43,9,0,0,0,42000,3,MORTGAGE,car,13,n/a,Not Verified,0,6500,6
LC10915,Fully Paid,19.69%,22,9.5,10,0,0,0,38004,3,OWN,moving,15,9 years,Verified,0,3000,3
LC10916,Charged Off,16.49%,17,7.7,8,1,3,1-4,70000,6,MORTGAGE,debt_consolidation,7,8 years,Verified,1,5000,4
LC10917,Fully Paid,13.49%,13,13.11,13,0,0,0,70000,6,RENT,debt_consolidation,15,6 years,Source Verified,0,25000,21
LC10918,Charged Off,13.99%,13,13.65,14,1,2,1-4,45000,4,RENT,debt_consolidation,6,LT 1year,Source Verified,0,15000,13
LC10919,Fully Paid,13.99%,13,8.58,9,0,1,1-4,91000,7,MORTGAGE,debt_consolidation,8,10+ years,Not Verified,1,12000,10
LC1092,Fully Paid,7.90%,4,14.91,15,0,0,0,49000,4,RENT,other,2,10+ years,Not Verified,0,6000,5
LC10920,Fully Paid,11.49%,10,12.08,12,0,0,0,57000,5,MORTGAGE,other,6,n/a,Source Verified,0,1200,1
LC10921,Fully Paid,12.99%,12,18.57,18,0,1,1-4,58000,5,MORTGAGE,home_improvement,7,LT 1year,Not Verified,0,8475,7
LC10922,Fully Paid,18.39%,20,13.2,13,0,0,0,69000,5,MORTGAGE,debt_consolidation,5,10+ years,Source Verified,0,15000,13
LC10923,Charged Off,17.99%,20,5.38,6,1,3,1-4,48000,4,MORTGAGE,debt_consolidation,5,4 years,Verified,0,3000,3
LC10924,Fully Paid,9.99%,7,17.68,18,0,0,0,83000,7,MORTGAGE,major_purchase,10,1 year,Not Verified,0,7000,6
LC10925,Fully Paid,10.99%,9,20.44,20,0,0,0,67000,5,RENT,debt_consolidation,5,5 years,Not Verified,0,2800,2
LC10926,Fully Paid,7.49%,4,3.37,4,0,0,0,46000,4,RENT,moving,8,LT 1year,Source Verified,0,5000,4
LC10927,Fully Paid,16.89%,18,5.01,5,0,0,0,69996,6,MORTGAGE,home_improvement,12,2 years,Not Verified,0,6000,5
LC10928,Fully Paid,13.49%,13,13.77,14,0,0,0,87600,7,OWN,debt_consolidation,10,1 year,Not Verified,0,5500,5
LC10929,Fully Paid,9.99%,7,13.48,14,0,0,0,60000,5,MORTGAGE,debt_consolidation,11,5 years,Verified,0,25000,21
LC1093,Charged Off,7.90%,4,3.47,4,1,0,0,18000,2,OWN,debt_consolidation,15,10+ years,Source Verified,0,10000,8
LC10930,Fully Paid,8.49%,5,7.76,8,0,0,0,60000,5,RENT,debt_consolidation,9,LT 1year,Source Verified,0,13000,11
LC10931,Fully Paid,8.49%,5,18.32,18,0,0,0,60000,5,RENT,debt_consolidation,6,6 years,Verified,0,19000,16
LC10932,Charged Off,19.69%,22,13.13,13,1,3,1-4,137170,11,MORTGAGE,wedding,7,3 years,Verified,0,15000,13
LC10933,Fully Paid,12.99%,12,12.04,12,0,0,0,68000,5,MORTGAGE,debt_consolidation,5,LT 1year,Not Verified,0,4800,4
LC10934,Fully Paid,11.99%,10,12.72,13,0,0,0,35000,3,MORTGAGE,other,4,10+ years,Source Verified,0,1200,1
LC10935,Fully Paid,17.99%,20,12.88,13,0,0,0,80000,6,MORTGAGE,other,8,10+ years,Not Verified,0,3200,3
